nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,weight,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,lexptot,lnland,vill,progvillf,progvillm,ps98,blockf1,ps99,blockf2,comsup,_pscore,_treated,_support,_weight,_lexptot,_id,_n1,_nn,_pdif
13014,1,3,1,45,1,9,4,26,30320,4023.548584,1271.14624,5294.694824,0,1,1.529411793,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.574649811,0.23111172,13,1,1,0.259716724,2,0.113237847,2,1,0.259716724,Treated,On support,1,8.891469002,600,99,1,7.44737E-05
13015,1,3,1,35,1,0,4,138,84103,3665.583984,2480.54541,6146.129395,0,1,1.49019599,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.723740578,0.867100477,13,1,1,0.527309032,3,0.062939324,1,1,0.527309032,Treated,On support,1,8.986069679,1045,39,1,0.354035749
13021,1,3,1,55,1,10,4,73,61220,4043.172363,1198.572266,5241.744629,0,1,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.564599991,0.548121393,13,1,1,0.221311237,2,0.090740591,1,1,0.221311237,Treated,On support,1,8.932869911,572,70,1,0.002344483
13025,1,3,1,55,1,1,6,262,642238.5,4540.533203,4913.610352,9454.143555,0,0,1.49019599,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,9.154314041,1.286473989,13,1,1,0.458206588,3,0.041954831,1,1,0.458206588,Untreated,On support,1,,420,,0,
13035,1,3,1,40,1,5,4,128,348335.3438,3636.486572,3551.732178,7188.21875,0,0,1.49019599,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.880337715,0.824175417,13,1,1,0.372711933,2,0.072992663,1,1,0.372711933,Untreated,On support,1,,238,,0,
13041,1,3,1,68,1,0,4,55,39100,2275.680176,5693.260254,7968.94043,0,1,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.98343277,0.438254923,13,1,1,0.461686802,3,0.065624606,1,1,0.461686802,Treated,On support,1,8.365415573,938,469,1,0.037090166
13045,1,3,1,48,1,0,4,237,646995.5625,4790.905273,2203.61377,6994.519043,0,1,1.49019599,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.853025436,1.214912772,13,1,1,0.501447518,3,0.045054378,1,1,0.501447518,Treated,On support,1,7.540327072,1012,151,1,0.196449074
13054,1,3,1,28,1,0,4,4,12978.75293,1783.394287,485.519043,2268.91333,0,0,1.529411793,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,7.727497101,0.039220713,13,1,1,0.541193849,3,0.109716055,2,1,0.541193849,Untreated,On support,1,,497,,0,
13061,1,3,1,55,0,0,4,10,25310,3727.838623,715.2526855,4443.091309,0,1,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.399331093,0.095310181,13,1,1,0.498897264,3,0.011859135,1,1,0.498897264,Treated,On support,1,9.597985268,1007,161,1,0.183797787
13091,1,3,1,70,1,0,4,19,34010,3259.574951,6084.889648,9344.464844,1,0,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,9.14264679,0.17395331,13,1,1,0.457725166,3,0.07660808,1,1,0.457725166,Untreated,On support,1,,416,,0,
13101,1,3,1,55,1,0,4,19,32460,3524.157471,755.3459473,4279.503418,0,1,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.361825943,0.17395331,13,1,1,0.48751263,3,0.084901905,1,1,0.48751263,Treated,On support,1,7.828577042,989,520,1,0.090145133
13111,1,3,1,41,1,0,5,3,4242,2404.114258,523.074707,2927.188965,1,0,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,7.982139587,0.029558802,13,1,1,0.515380641,3,0.101535822,2,1,0.515380641,Untreated,On support,1,,481,,0,
13121,1,3,1,36,1,0,4,8,11615,3074.841064,2156.584229,5231.425293,0,1,0.656862736,0,0.75,9.022420883,6.090134144,10.82690525,6.105305672,2.030044556,40.60089493,8.562630653,0.07696104,13,1,1,0.525322377,3,0.10200436,2,1,0.525322377,Treated,On support,1,9.483992577,1042,43,1,0.346580321
21015,1,1,2,50,1,12,9,839,1268879.5,4125.953125,2565.826172,6691.779297,0,0,1.593137264,1,0.800000012,10.60134411,8.120178223,8.120178223,7.173734188,1.691703916,40.60089493,8.808784485,2.239645243,21,1,0,0.174240599,1,0.092420449,1,1,0.174240599,Untreated,On support,1,,40,,0,
21035,1,1,2,60,1,0,8,194.5,204621.75,1987.921265,1221.241089,3209.162354,0,0,1.593137264,1,0.800000012,10.60134411,8.120178223,8.120178223,7.173734188,1.691703916,40.60089493,8.074076653,1.080108762,21,1,0,0.458708921,3,0.121108906,2,1,0.458708921,Untreated,On support,1,,421,,0,
21045,1,1,2,85,1,0,3,46,56367.57813,2667.027588,1439.978271,4107.005859,0,0,1.593137264,1,0.800000012,10.60134411,8.120178223,8.120178223,7.173734188,1.691703916,40.60089493,8.320693016,0.378436446,21,1,0,0.409646778,3,0.152124296,2,1,0.409646778,Untreated,On support,1,,328,,0,
21054,1,1,2,48,1,0,9,2,9581.810547,5492.248047,2274.026367,7766.274414,0,0,1.235294104,1,0.800000012,10.60134411,8.120178223,8.120178223,7.173734188,1.691703916,40.60089493,8.95767498,0.019802628,21,1,0,0.482532389,3,0.220413655,3,1,0.482532389,Untreated,On support,1,,451,,0,
21061,1,1,2,45,1,0,4,1,5340,3332.318359,397.8886719,3730.207031,0,1,0.753676474,1,0.800000012,10.60134411,8.120178223,8.120178223,7.173734188,1.691703916,40.60089493,8.224487305,0.00995033,21,1,0,0.488501367,3,0.224699047,3,1,0.488501367,Treated,On support,1,8.517573357,992,523,1,0.096953216
22021,1,2,2,37,1,0,5,18,13020,2264.447021,605.765625,2870.212646,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.962489605,0.165514439,22,1,0,0.424179057,3,0.16906064,2,1,0.424179057,Treated,On support,1,7.930886269,853,384,1,0.013091934
22024,1,2,2,50,1,0,7,1.5,1353.363159,1301.741943,245.2487793,1546.990723,0,0,1.361702085,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.344713211,0.014888613,22,1,0,0.398939702,2,0.169640327,2,1,0.398939702,Untreated,On support,1,,303,,0,
22025,1,2,2,35,1,8,6,363,298957.9063,4689.40332,2824.919922,7514.323242,0,0,1.985815525,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,8.924699783,1.532556891,22,1,0,0.220529779,2,0.1006269,2,1,0.220529779,Untreated,On support,1,,68,,0,
22031,1,2,2,37,1,0,4,10,6020,2127.825195,453.2075195,2581.032715,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.856332302,0.095310181,22,1,0,0.424179057,3,0.175042648,2,1,0.424179057,Treated,On support,1,8.087872505,854,385,1,0.013682601
22044,1,2,2,55,1,0,6,5,3498.443848,1571.480103,166.1252441,1737.605347,0,0,1.361702085,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.460838318,0.048790164,22,1,0,0.389337607,2,0.162215634,2,1,0.389337607,Untreated,On support,1,,275,,0,
22045,1,2,2,68,1,4,6,263.5,289362.5313,3235.440186,765.6652832,4001.105469,0,0,1.985815525,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,8.294575691,1.290609121,22,1,0,0.260920216,2,0.08321849,1,1,0.260920216,Untreated,On support,1,,101,,0,
22054,1,2,2,40,1,0,2,1,947.354187,2599.810547,1810.799805,4410.610352,0,0,1.361702085,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,8.39199543,0.00995033,22,1,0,0.418322894,3,0.179575264,2,1,0.418322894,Untreated,On support,1,,344,,0,
22061,1,2,2,37,1,12,6,224,200550,2276.807861,935.6252441,3212.433105,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,8.075095177,1.175573349,22,1,0,0.141193418,1,0.135356825,2,1,0.141193418,Treated,On support,1,8.691381454,537,21,1,0.002662492
22091,1,2,2,41,1,0,4,11,6190,1318.175659,521.0447998,1839.220459,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.517640591,0.104360014,22,1,0,0.416374789,3,0.170490432,2,1,0.416374789,Treated,On support,1,7.92263031,833,364,1,0.012265102
22101,1,2,2,37,0,0,3,2,2750,2002.977417,376.911499,2379.888916,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,7.775228977,0.019802628,22,1,0,0.435388499,3,0.034053395,1,1,0.435388499,Treated,On support,1,9.14264679,885,416,1,0.022336668
22121,1,2,2,53,0,0,1,1,1,3093.788086,420.2192383,3514.007324,0,1,0.602836847,1,0.850000024,9.022420883,6.090134144,8.120178223,6.105305672,1.691703916,35.18743896,8.164796829,0.00995033,22,1,0,0.404187711,3,0.030045108,1,1,0.404187711,Treated,On support,1,8.390844345,802,333,1,0.006913657
23031,1,3,2,35,1,0,5,10,6610,2778.183838,377.8588867,3156.042725,0,1,0.752136707,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,8.057391167,0.095310181,23,1,0,0.435005822,3,0.216661984,3,1,0.435005822,Treated,On support,1,8.752039909,882,413,1,0.01971733
23041,1,3,2,35,1,0,4,1,15400,2501.353271,1322.405029,3823.758301,0,1,0.752136707,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,8.249250412,0.00995033,23,1,0,0.435005822,3,0.22512698,3,1,0.435005822,Treated,On support,1,8.4211092,883,414,1,0.021847636
23044,1,3,2,55,1,0,8,16,16868.31641,1085.904663,107.4232178,1193.327881,0,0,1.497435927,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,7.085339069,0.148420006,23,1,0,0.396099125,2,0.190741047,2,1,0.396099125,Untreated,On support,1,,294,,0,
23054,1,3,2,27,1,0,3,1,1119.907959,1428.02356,244.9587402,1672.9823,0,0,1.497435927,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,7.422960758,0.00995033,23,1,0,0.450769154,3,0.234094198,3,1,0.450769154,Untreated,On support,1,,410,,0,
23061,1,3,2,25,1,0,2,12,16105.02246,5290.973145,1031.601074,6322.574219,0,0,0.752136707,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,8.752039909,0.113328688,23,1,0,0.454723151,3,0.225849614,3,1,0.454723151,Untreated,On support,1,,413,,0,
23081,1,3,2,47,1,0,10,27,24900,4214.237305,1152.050293,5366.287598,0,1,0.752136707,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,8.588077545,0.239016905,23,1,0,0.411560831,3,0.19054722,2,1,0.411560831,Treated,On support,1,8.29121685,821,352,1,0.010457933
23121,1,3,2,22,1,6,2,178,231195.0156,4191.365723,1544.86377,5736.229492,0,0,0.752136707,1,0.75,10.15022373,6.090134144,8.120178223,6.868469238,1.691703916,35.18743896,8.65473175,1.022450924,23,1,0,0.294376303,2,0.171487586,2,1,0.294376303,Untreated,On support,1,,138,,0,
24015,1,4,2,45,1,9,4,152,360948.6875,3265.665283,5640.817383,8906.482422,0,1,0.427672952,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,9.094646454,0.924258888,24,1,1,0.188769658,1,0.06166766,1,1,0.188769658,Treated,On support,1,9.21234417,553,51,1,0.00020885
24025,1,4,2,62,1,14,7,434,918899.6875,5049.20459,1758.405273,6807.609863,0,0,0.427672952,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.825942993,1.675225616,24,1,1,0.090854141,,0.038042989,1,1,0.090854141,Untreated,On support,1,,3,,0,
24034,1,4,2,32,1,0,3,1,4973.609375,2789.732422,845.6264648,3635.358887,0,0,2.968553543,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.198738098,0.00995033,24,1,1,0.438512705,3,0.091290931,1,1,0.438512705,Untreated,On support,1,,387,,0,
24035,1,4,2,50,1,8,9,152,416693.75,2891.686035,1132.012939,4023.698975,0,1,0.427672952,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.300205231,0.924258888,24,1,1,0.202212061,2,0.057562906,1,1,0.202212061,Treated,On support,1,8.596076965,562,60,1,0.006064739
24041,1,4,2,55,1,0,3,1,1218.026855,2530.337891,1033.067139,3563.405029,0,1,0.301886797,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.178752899,0.00995033,24,1,1,0.393762243,2,0.078119041,1,1,0.393762243,Treated,On support,1,7.918419361,769,300,1,0.003790931
24055,1,4,2,69,1,8,2,448,1009676.563,4296.927734,3221.004395,7517.932129,0,0,0.427672952,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.925179482,1.701105118,24,1,1,0.176556301,1,0.028365754,1,1,0.176556301,Untreated,On support,1,,41,,0,
24061,1,4,2,36,1,0,4,2,8208.147461,2336.919678,650.6293945,2987.549072,0,1,0.301886797,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.002543449,0.019802628,24,1,1,0.430656187,3,0.088360409,1,1,0.430656187,Treated,On support,1,8.733255386,871,402,1,0.017057612
24071,1,4,2,30,1,0,4,1,3281.905273,2860.671387,779.3679199,3640.039307,1,0,0.301886797,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.200024605,0.00995033,24,1,1,0.442450271,3,0.092509811,1,1,0.442450271,Untreated,On support,1,,394,,0,
24091,1,4,2,37,1,0,4,9,33820.54297,2751.048828,1348.79541,4099.844238,1,1,0.301886797,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.318947792,0.086177699,24,1,1,0.428696212,3,0.084287587,1,1,0.428696212,Treated,On support,1,8.031245232,868,399,1,0.016437277
24101,1,4,2,30,1,0,7,8.5,30755.17578,2052.665039,1425.187988,3477.853027,0,1,0.301886797,1,0.776451647,8.120178223,6.766815662,9.473542213,5.494774818,2.030044556,37.89416885,8.154458046,0.081579991,24,1,1,0.442450271,3,0.088605317,1,1,0.442450271,Treated,On support,1,7.386530399,898,429,1,0.021772908
31011,1,1,3,52,1,1,7,6,131550,4900.334473,1377.916992,6278.251465,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.745005608,0.058268908,31,1,0,0.326667864,2,0.089157236,1,1,0.326667864,Treated,On support,1,8.523104668,643,174,1,0.000270905
31014,1,1,3,42,1,10,8,3,272465.8438,3921.03125,1555.521973,5476.553223,0,0,1.287531853,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.608413696,0.029558802,31,1,0,0.144107481,1,0.124266252,2,1,0.144107481,Untreated,On support,1,,22,,0,
31024,1,1,3,50,1,12,6,32,1355562.5,5295.709961,3779.266602,9074.976563,0,0,1.287531853,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.113386154,0.27763173,31,1,0,0.105784224,1,0.108592316,2,1,0.105784224,Untreated,On support,1,,5,,0,
31025,1,1,3,35,1,9,8,60,357200,4181.553711,15745.36426,19926.91797,0,1,1.93129766,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.899876595,0.470003635,31,1,0,0.170177427,1,0.098281868,1,1,0.170177427,Treated,On support,1,9.218571663,548,37,1,0.000422635
31035,1,1,3,70,1,10,5,6,588036.25,7277.845703,3790.769531,11068.61523,0,0,1.93129766,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.311959267,0.058268908,31,1,0,0.11472352,1,0.102580894,2,1,0.11472352,Untreated,On support,1,,9,,0,
31044,1,1,3,40,0,4,4,259,447218.8438,7023.95459,16406.99023,23430.94531,0,0,1.287531853,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,10.06185532,1.278152227,31,1,0,0.280403736,2,0.004999311,1,1,0.280403736,Untreated,On support,1,,118,,0,
31051,1,1,3,58,1,6,10,10,263200,3943.970703,4342.265625,8286.236328,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.022471428,0.095310181,31,1,0,0.198411173,1,0.096855053,1,1,0.198411173,Treated,On support,1,8.452245712,558,56,1,0.005150757
31061,1,1,3,31,1,8,4,5,221560,6508.323242,14464.06738,20972.39063,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.95100975,0.048790164,31,1,0,0.194934473,1,0.12465389,2,1,0.194934473,Treated,On support,1,8.274032593,555,53,1,0.001274479
31091,1,1,3,50,1,3,6,4.5,98800,3732.124512,552.6230469,4284.747559,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.363050461,0.044016887,31,1,0,0.27878831,2,0.09654752,1,1,0.27878831,Treated,On support,1,8.291992188,615,119,1,0.002300535
31101,1,1,3,35,1,0,4,1,16845,3725.808594,735.8911133,4461.699707,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.40350914,0.00995033,31,1,0,0.385661437,2,0.099717407,1,1,0.385661437,Treated,On support,1,8.603478432,750,281,1,0.004866516
31111,1,1,3,70,1,4,9,12,704229.3125,6638.396484,937.5795898,7575.976074,0,0,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.932869911,0.113328688,31,1,0,0.223655721,2,0.083427829,1,1,0.223655721,Untreated,On support,1,,70,,0,
31121,1,1,3,55,0,0,5,12,66580,8494.789063,10105.5625,18600.35156,0,1,0.677208304,1,0.150000006,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.830989838,0.113328688,31,1,0,0.358707309,2,0.010535158,1,1,0.358707309,Treated,On support,1,8.11004734,695,226,1,0.006652847
32011,1,2,3,28,1,2,5,9,61410,4516.984863,6708.620605,11225.60547,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.326042175,0.086177699,32,1,0,0.3362102,2,0.10367617,2,1,0.3362102,Treated,On support,1,8.786744118,660,191,1,0.004910774
32014,1,2,3,70,1,0,2,3.25,217864.4063,6810.799805,1596.96875,8407.768555,0,0,1.670238018,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.03703022,0.031983044,32,1,0,0.313787267,2,0.076315265,1,1,0.313787267,Untreated,On support,1,,159,,0,
32015,1,2,3,35,1,9,4,43,652131.5625,7695.899414,17806.53516,25502.43555,0,0,1.86190474,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,10.1465683,0.35767445,32,1,0,0.165204747,1,0.103059623,2,1,0.165204747,Untreated,On support,1,,32,,0,
32024,1,2,3,55,1,0,7,2,36300,5531.001953,2347.118164,7878.120117,0,1,1.670238018,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.971971512,0.019802628,32,1,0,0.340799017,2,0.085218262,1,1,0.340799017,Treated,On support,1,7.964055538,664,195,1,0.003677781
32031,1,2,3,58,1,5,8,104,140760,5013.364258,5412.606445,10425.9707,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.252151489,0.712949812,32,1,0,0.213746645,2,0.062676639,1,1,0.213746645,Treated,On support,1,8.132795334,568,66,1,0.00223089
32044,1,2,3,32,1,3,5,1,7781.837891,3020.706543,529.1647949,3549.871338,0,0,1.670238018,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.174948692,0.00995033,32,1,0,0.302774343,2,0.108597492,2,1,0.302774343,Untreated,On support,1,,146,,0,
32045,1,2,3,35,1,9,9,86,347272.9688,8274.762695,1701.478516,9976.241211,0,0,1.86190474,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,9.208062172,0.620576501,32,1,0,0.165204747,1,0.088161677,1,1,0.165204747,Untreated,On support,1,,33,,0,
32061,1,2,3,50,1,0,6,2,16235,4544.14209,916.9038086,5461.045898,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.605578423,0.019802628,32,1,0,0.349996437,2,0.088135472,1,1,0.349996437,Treated,On support,1,8.085999489,680,211,1,0.004587009
32064,1,2,3,40,1,12,9,176,594667.8125,4851.355957,1652.606445,6503.962402,0,0,1.670238018,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.780320168,1.015230656,32,1,0,0.111387457,1,0.072970187,1,1,0.111387457,Untreated,On support,1,,8,,0,
32121,1,2,3,66,0,0,5,6,54780,8804.439453,16172.6875,24977.12695,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,10.12575626,0.058268908,32,1,0,0.3311867,2,0.00965705,1,1,0.3311867,Treated,On support,1,8.286028862,649,180,1,0.003106572
32131,1,2,3,55,0,0,5,86,232510,5575.855957,1224.793457,6800.649414,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.824920654,0.620576501,32,1,0,0.351326635,2,0.006447236,1,1,0.351326635,Treated,On support,1,8.665736198,681,212,1,0.003288077
32141,1,2,3,30,1,3,3,5,151110,4950.602051,1117.652832,6068.254883,0,1,0.528061211,1,0.100000001,9.699102402,6.090134144,13.53363132,6.563203812,2.030044556,37.89416885,8.710990906,0.048790164,32,1,0,0.306268133,2,0.107559867,2,1,0.306268133,Treated,On support,1,8.915442467,629,153,1,4.90812E-05
33014,1,3,3,45,1,0,7,0.200000003,1100,2605.803955,277.2460938,2883.050049,0,1,1.937056899,1,0.400000006,10.37578392,6.766815662,13.53363132,7.021101475,2.030044556,40.60089493,7.966950893,0.001998003,33,1,1,0.44551862,3,0.114545301,2,1,0.44551862,Treated,On support,1,7.37122345,905,436,1,0.024646296
33034,1,3,3,65,0,0,2,2,35099.47266,5935.173828,876.3027344,6811.476563,0,0,1.937056899,1,0.400000006,10.37578392,6.766815662,13.53363132,7.021101475,2.030044556,40.60089493,8.826511383,0.019802628,33,1,1,0.417511756,3,0.013986412,1,1,0.417511756,Untreated,On support,1,,343,,0,
33051,1,3,3,35,1,0,5,13,80950,1644.065552,262.5524902,1906.618042,0,1,0.602963507,1,0.400000006,10.37578392,6.766815662,13.53363132,7.021101475,2.030044556,40.60089493,7.553610802,0.122217633,33,1,1,0.465301925,3,0.113923005,2,1,0.465301925,Treated,On support,1,8.432301521,945,476,1,0.038442622
33054,1,3,3,45,1,3,6,2,8120,2677.854492,933.8205566,3611.675049,0,1,1.937056899,1,0.400000006,10.37578392,6.766815662,13.53363132,7.021101475,2.030044556,40.60089493,8.192203522,0.019802628,33,1,1,0.360197235,2,0.122992644,2,1,0.360197235,Treated,On support,1,8.781276703,698,229,1,0.005914255
33061,1,3,3,35,1,0,5,52,209520,5022.601074,536.3378906,5558.938965,0,1,0.602963507,1,0.400000006,10.37578392,6.766815662,13.53363132,7.021101475,2.030044556,40.60089493,8.623342514,0.418710321,33,1,1,0.465301925,3,0.095945618,1,1,0.465301925,Treated,On support,1,8.433958054,946,477,1,0.040382861
